00:00:00-00:00:05,Neutral
00:00:05-00:00:10,Fear
00:00:10-00:00:15,Joy
00:00:15-00:00:20,Joy
00:00:20-00:00:25,Anger
00:00:25-00:00:30,Fear
00:00:30-00:00:35,Joy
00:00:35-00:00:40,Joy
00:00:40-00:00:45,Neutral
00:00:45-00:00:50,Sadness
00:00:50-00:00:55,Joy
00:00:55-00:01:00,Neutral
00:01:00-00:01:05,Joy
00:01:05-00:01:10,Joy
00:01:10-00:01:15,Sadness
00:01:15-00:01:15,Neutral
00:00:00-00:00:10,Fear
00:00:10-00:00:20,Fear
00:00:20-00:00:30,Fear
00:00:30-00:00:40,Joy
00:00:40-00:00:50,Neutral
00:00:50-00:01:00,Joy
00:01:00-00:01:10,Joy
00:01:10-00:01:15,Sadness
00:00:00-00:00:10,Fear
00:00:05-00:00:15,Fear
00:00:10-00:00:20,Fear
00:00:15-00:00:25,Fear
00:00:20-00:00:30,Fear
00:00:25-00:00:35,Fear
00:00:30-00:00:40,Joy
00:00:35-00:00:45,Joy
00:00:40-00:00:50,Neutral
00:00:45-00:00:55,Joy
00:00:50-00:01:00,Joy
00:00:55-00:01:05,Joy
00:01:00-00:01:10,Joy
00:01:05-00:01:15,Sadness
00:01:10-00:01:15,Sadness
